Date,House,anemia,arrhythmia,asthma,bacteria,biopsy,cancer,cardiomyopathy,cholesterol,coma,diabetes,embolism,encephalitis,epilepsy,hypertension,immunodeficiency,infection,leukemia,lupus,malaria,pneumonia,sepsis,stroke,tumor,Average
2016-12,12,65,55,42,42,56,67,49,44,25,65,49,38,39,35,12,72,61,45,13,38,54,55,0,44.391304347826086
2017-01,13,70,64,44,50,65,73,63,52,25,80,55,40,42,41,13,80,60,42,14,41,75,58,0,49.869565217391305
2017-02,12,82,74,50,64,73,76,63,59,26,76,64,45,46,48,16,81,66,44,16,42,78,60,0,54.30434782608695
2017-03,12,83,88,47,57,71,72,73,61,27,81,62,36,50,46,16,78,71,45,16,35,79,65,0,54.73913043478261
2017-04,9,79,66,50,58,69,76,56,57,25,81,61,43,47,44,16,78,85,48,17,32,68,70,0,53.30434782608695
2017-05,8,74,65,50,53,70,73,56,54,26,77,61,54,44,42,14,76,61,47,16,26,65,69,0,51.0
2017-06,7,72,64,43,41,73,76,55,54,44,76,59,44,40,43,12,78,62,44,12,24,67,70,0,50.130434782608695
2017-07,8,70,63,39,46,69,75,56,54,26,78,54,44,40,40,11,79,61,46,12,20,65,71,0,48.65217391304348
2017-08,7,73,62,42,39,75,74,69,54,29,75,53,54,45,43,12,73,61,41,11,21,64,66,0,49.391304347826086
2017-09,8,75,63,47,57,67,74,64,56,24,74,56,47,45,42,13,75,63,77,13,27,66,64,0,51.69565217391305
2017-10,8,82,73,50,59,72,85,69,60,27,79,64,45,50,43,13,81,65,51,14,32,63,69,0,54.17391304347826
2017-11,7,68,61,49,56,69,73,53,55,25,81,56,38,51,43,13,83,61,50,14,32,57,65,0,50.130434782608695
2017-12,7,69,59,46,45,65,70,61,49,26,74,57,40,42,40,12,83,60,44,12,45,62,64,0,48.91304347826087
2018-01,8,78,66,50,54,71,72,63,58,25,81,63,45,47,43,13,86,68,44,13,60,100,66,0,55.04347826086956
2018-02,8,83,73,55,64,79,78,65,67,25,79,61,43,49,47,15,90,68,44,16,50,87,68,0,56.78260869565217
2018-03,9,69,67,55,57,74,74,44,63,24,71,17,36,52,49,11,80,61,44,14,34,62,65,0,48.82608695652174
2018-04,11,66,69,53,63,80,74,56,66,24,70,22,38,52,46,12,81,68,46,17,28,70,68,0,50.82608695652174
2018-05,13,61,68,54,56,74,74,51,57,22,69,21,36,44,39,10,79,63,50,17,24,61,67,0,47.69565217391305
2018-06,12,60,64,45,47,76,76,49,58,29,64,16,44,47,39,9,80,57,44,13,21,57,64,0,46.04347826086956
2018-07,12,58,65,44,44,73,78,43,57,22,68,18,47,42,40,8,84,62,48,17,19,59,65,0,46.130434782608695
2018-08,15,62,69,44,44,77,79,51,58,21,65,23,40,44,41,9,86,60,45,12,19,60,62,0,46.56521739130435
2018-09,14,63,73,48,56,73,78,43,65,22,64,18,39,43,43,10,81,61,43,14,26,76,62,0,47.869565217391305
2018-10,11,69,77,51,63,80,90,45,65,23,73,18,40,46,46,11,80,100,48,15,30,63,65,0,52.08695652173913
2018-11,12,62,72,50,55,71,76,39,63,24,70,18,35,53,58,11,82,61,43,15,38,59,64,0,48.65217391304348
2018-12,12,58,66,46,47,66,73,34,56,23,63,16,36,46,50,9,89,62,41,13,40,62,63,0,46.04347826086956
2019-01,13,67,75,49,53,77,79,37,71,67,73,19,38,52,58,10,88,60,45,14,43,64,64,0,52.30434782608695
2019-02,11,71,79,51,64,76,83,42,71,26,70,25,41,53,72,12,86,67,45,17,42,67,68,0,53.391304347826086
2019-03,13,68,78,53,60,79,89,42,75,24,78,18,39,62,72,13,88,63,47,16,40,72,100,0,55.47826086956522
2019-04,12,71,73,54,61,79,81,37,71,28,75,18,39,61,72,15,83,60,45,18,31,67,80,0,53.0
2019-05,13,69,69,49,55,80,78,40,67,24,72,17,38,60,69,11,85,61,50,17,29,62,74,0,51.130434782608695
2019-06,11,66,63,44,50,76,83,42,65,27,68,16,39,60,60,10,80,59,43,14,25,65,72,0,49.0
2019-07,12,69,65,42,100,73,76,48,61,23,69,18,37,100,66,10,83,58,46,14,22,65,71,0,52.869565217391305
2019-08,12,68,65,42,51,77,76,38,67,21,66,15,47,57,46,9,80,56,40,12,22,65,64,20,48.0
2019-09,12,68,68,47,66,79,82,42,69,24,68,18,77,50,48,13,81,61,57,14,29,65,69,5,52.17391304347826
2019-10,11,69,72,52,64,81,89,42,74,26,70,20,72,54,48,12,81,56,45,15,36,63,71,33,54.130434782608695
2019-11,11,67,69,51,55,74,77,40,67,24,72,15,42,55,48,12,80,56,42,15,39,61,71,43,51.08695652173913
2019-12,12,60,62,46,45,66,70,38,58,22,67,15,33,48,48,10,82,54,38,14,50,60,70,15,46.56521739130435
2020-01,13,68,69,55,52,76,74,43,74,23,75,17,37,52,55,12,93,56,46,14,62,82,69,6,52.608695652173914
2020-02,12,69,78,53,64,81,85,43,75,26,77,18,36,54,61,15,92,59,44,17,64,72,71,5,54.73913043478261
2020-03,12,60,65,100,79,59,61,38,50,26,68,16,40,42,57,98,93,49,46,100,100,63,57,4,59.608695652173914
2020-04,15,55,70,75,74,41,58,34,39,31,66,16,41,39,55,42,78,44,46,51,48,57,66,7,49.26086956521739
2020-05,14,57,66,57,57,48,58,31,46,25,66,14,32,42,50,31,70,48,42,21,24,47,64,7,43.608695652173914
2020-06,15,66,68,50,43,65,66,34,56,22,72,14,50,41,49,26,69,50,42,12,20,51,62,36,46.26086956521739
2020-07,17,62,67,57,42,65,70,38,64,27,68,15,46,41,53,28,81,51,38,15,28,54,64,47,48.73913043478261
2020-08,14,64,64,46,43,66,71,37,63,33,64,14,36,41,52,18,74,49,38,12,21,51,62,47,46.34782608695652
